"session_id	topic_id	query	query_id	doc_url	id"
"0	1	kenya swahili cooking dishes cook	0	https://cookpad.com/us/search/swahili	0"
"0	1	kenya swahili cooking dishes cook	0	https://www.pinterest.com/dkarama/swahili-recipes/	1"
"0	1	kenya swahili cooking dishes cook	0	https://africageographic.com/stories/six-swahili-food-dishes-wont-want-miss/	2"
"0	1	kenya swahili cooking dishes cook	0	https://www.tuko.co.ke/271894-best-kenyan-swahili-dishes-recipes.html	3"
"0	1	kenya swahili cooking dishes cook	0	https://matadornetwork.com/read/essential-kenya-dishes-swahili-coast/	4"
"0	1	kenya swahili cooking dishes cook	0	https://ling-app.com/sw/swahili-food/	5"
"0	1	kenya swahili cooking dishes cook	0	https://swahilifood.com/	6"
"0	1	kenya swahili cooking dishes cook	0	https://www.kitchencounterchronicle.com/kenya-swahili-pilau/	7"
"0	1	kenya swahili cooking dishes cook	0	https://mayuris-jikoni.com/tag/swahili-cuisine/	8"
"0	1	kenya swahili cooking dishes cook	0	https://www.youtube.com/watch?v=NB_wQ43iZ5s	9"
"1	2	airport dulles cities taxi city	0	https://www.flydulles.com/parking-transportation/washington-flyer-taxi-service	10"
"1	2	airport dulles cities taxi city	0	https://www.flydulles.com/parking-transportation/washington-flyer-taxi-service/estimated-taxi-fares	11"
"1	2	airport dulles cities taxi city	0	https://www.annapoliscitytaxi.com/service-area/taxi-service-washington-dulles-international-airport/	12"
"1	2	airport dulles cities taxi city	0	https://www.welcomepickups.com/washington/airport-taxi/	13"
"1	2	airport dulles cities taxi city	0	https://www.welcomepickups.com/washington/airport-to-city/	14"
"1	2	airport dulles cities taxi city	0	https://www.virginia.org/listing/washington-flyer-taxi/11464/	15"
"1	2	airport dulles cities taxi city	0	https://dullestaxi.com/	16"
"1	2	airport dulles cities taxi city	0	https://airmundo.com/en/airports/washington-dulles-international-airport/taxi/	17"
"1	2	airport dulles cities taxi city	0	https://fairfaxyellowcab.com/our-services/airport-service/	18"
"1	2	airport dulles cities taxi city	0	https://www.tripsavvy.com/getting-to-dulles-1040463	19"
"2	3	phd business degree masters education	0	https://www.bestcolleges.com/features/doctorate-business-administration-programs/	20"
"2	3	phd business degree masters education	0	https://www.bu.edu/academics/questrom/programs/phd-in-management/	21"
"2	3	phd business degree masters education	0	https://degrees.bellevue.edu/business"
"2	3	phd business degree masters education	0	https://www.usnews.com/education/online-education/business/rankings	23"
"2	3	phd business degree masters education	0	https://mendoza.nd.edu/graduate-programs/	24"
"2	3	phd business degree masters education	0	https://business.fiu.edu/graduate/phd/index.cfm	25"
"2	3	phd business degree masters education	0	https://business.fiu.edu/graduate/doctor-of-business-administration/index.cfm	26"
"2	3	phd business degree masters education	0	https://www.lsu.edu/business/academics/graduate-programs.php	27"
"2	3	phd business degree masters education	0	https://www.business.msstate.edu/academics/graduate-programs/doctoral-programs	28"
"2	3	phd business degree masters education	0	https://hankamer.baylor.edu/graduate	29"
"3	4	smoking quitting hypnosis quit benefits	0	https://www.healthline.com/health/hypnosis-to-quit-smoking	30"
"3	4	smoking quitting hypnosis quit benefits	0	https://www.webmd.com/smoking-cessation/hypnosis-for-quitting-smoking	31"
"3	4	smoking quitting hypnosis quit benefits	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6568235/	32"
"3	4	smoking quitting hypnosis quit benefits	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6568235/#abstract-1title	33"
"3	4	smoking quitting hypnosis quit benefits	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6568235/#CD001008-sec-0043title	34"
"3	4	smoking quitting hypnosis quit benefits	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6568235/#CD001008-sec-0064title	35"
"3	4	smoking quitting hypnosis quit benefits	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6568235/#CD001008-sec-0093title	36"
"3	4	smoking quitting hypnosis quit benefits	0	https://www.mindsethealth.com/matter/stop-smoking-hypnosis	37"
"3	4	smoking quitting hypnosis quit benefits	0	https://www.mindsethealth.com/matter/stop-smoking-hypnosis#toc-benefits-of-quitting-smoking	38"
"3	4	smoking quitting hypnosis quit benefits	0	https://www.mindsethealth.com/matter/stop-smoking-hypnosis#toc-using-hypnosis-to-stop-smoking	39"
"4	5	article information transplants patients pages	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7459921/	40"
"4	5	article information transplants patients pages	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264649/	41"
"4	5	article information transplants patients pages	0	https://onlinelibrary.wiley.com/journal/16006143	42"
"4	5	article information transplants patients pages	0	https://onlinelibrary.wiley.com/loi/16006143	43"
"4	5	article information transplants patients pages	0	https://onlinelibrary.wiley.com/toc/16006143/2022/22/12	44"
"4	5	article information transplants patients pages	0	https://onlinelibrary.wiley.com/journal/16006143/covid19	45"
"4	5	article information transplants patients pages	0	https://onlinelibrary.wiley.com/page/journal/16006143/homepage/cover_gallery.htm	46"
"4	5	article information transplants patients pages	0	https://unos.org/resources/	47"
"4	5	article information transplants patients pages	0	https://unos.org/data/	48"
"4	5	article information transplants patients pages	0	https://www.myast.org/covid-19-information	49"
"5	6	kenya dishes swahili traditional information	0	https://matadornetwork.com/read/essential-kenya-dishes-swahili-coast/	50"
"5	6	kenya dishes swahili traditional information	0	https://africageographic.com/stories/six-swahili-food-dishes-wont-want-miss/	51"
"5	6	kenya dishes swahili traditional information	0	https://ling-app.com/sw/swahili-food/	52"
"5	6	kenya dishes swahili traditional information	0	https://www.willflyforfood.net/food-in-kenya/	53"
"5	6	kenya dishes swahili traditional information	0	https://swahilifood.com/	54"
"5	6	kenya dishes swahili traditional information	0	https://swahilifood.com/about-me/	55"
"5	6	kenya dishes swahili traditional information	0	https://swahilifood.com/category/easy-recipes/	56"
"5	6	kenya dishes swahili traditional information	0	https://swahilifood.com/category/drinks/	57"
"5	6	kenya dishes swahili traditional information	0	https://swahilifood.com/category/snacks/	58"
"5	6	kenya dishes swahili traditional information	0	https://ischoolillinois.libguides.com/c.php?g=1092788&p=7986734	59"
"6	7	kursk sank sinking submarine sea	0	https://en.wikipedia.org/wiki/Kursk_submarine_disaster	60"
"6	7	kursk sank sinking submarine sea	0	https://en.wikipedia.org/wiki/Russian_submarine_Kursk_(K-141)	61"
"6	7	kursk sank sinking submarine sea	0	https://en.wikipedia.org/wiki/Barents_Sea	62"
"6	7	kursk sank sinking submarine sea	0	https://en.wikipedia.org/wiki/Kursk_(film)	63"
"6	7	kursk sank sinking submarine sea	0	https://en.wikipedia.org/wiki/India-class_submarine	64"
"6	7	kursk sank sinking submarine sea	0	https://www.britannica.com/event/Kursk-submarine-disaster	65"
"6	7	kursk sank sinking submarine sea	0	https://www.marineinsight.com/maritime-history/mysterious-horrific-maritime-disaster-the-story-of-the-kursk-disaster/	66"
"6	7	kursk sank sinking submarine sea	0	https://www.navytimes.com/flashpoints/2021/11/22/russian-admiral-kursk-disaster-caused-by-nato-sub/	67"
"6	7	kursk sank sinking submarine sea	0	https://www.rferl.org/a/the-kursk-catastrophe-a-lesson-for-putin-is-fading-from-russian-attention-20-years-later/30778500.html	68"
"6	7	kursk sank sinking submarine sea	0	https://www.theguardian.com/world/2001/aug/05/kursk.russia	69"
"7	8	submarines kursk submarine sinking sink	0	https://en.wikipedia.org/wiki/Kursk_submarine_disaster	70"
"7	8	submarines kursk submarine sinking sink	0	https://en.wikipedia.org/wiki/Russian_submarine_Kursk_(K-141)	71"
