,query_order,query_len,session_end,query_dwell_time,BEGIN_SEARCH_count,JUMP_IN_count,MOUSE_MOVE_count,JUMP_OUT_count,QUERY_REFORM_count,HOVER_count,CLICK_count,SCROLL_count,OVER_count,SEARCH_END_count,GOTO_PAGE_count,clicked_doc_count,query_relevance_count,query_key_count,task_relevance_count,task_key_count,query_nDCG3,query_nDCG5,query_nDCG10,task_nDCG3,task_nDCG5,task_nDCG10,query_precision3,query_precision5,query_precision10,task_precision3,task_precision5,task_precision10,num_of_click3,ave_query_relevant_score,ave_task_relevant_score,new_unique_query_terms_num,query_similarity,click_precision_query,click_precision_task,num_of_click5,num_of_click10,click_depth,state
0,2,4,0,79108.34781001133,0,1,1,0,1,28,1,89,0,0,0,3,0,0,0,4,0.8569249960506675,0.9333437000339202,0.8733664230878762,0.2733388722548874,0.34154548314859456,0.8077231508635134,0.6791315379788768,0.9920997407095933,0.8842865603966722,1.019775486858715,0.974864091623655,1.0338836938224072,0,-0.0689533032653869,2.8904291594236535,-0.18320836445967295,0.0416980288381419,0.9757101145012737,0.4037653852867047,2,0,0,2
1,1,2,0,193334.5029621483,0,4,56,0,1,15,5,2,0,0,0,6,1,0,3,0,0.53651392630261,0.5834410212921837,0.741886074870266,0.9086029591303484,0.9516587928492934,0.9272984614723939,1.0134274164733117,0.9738087404399208,0.9916162725668631,0.6494445510693592,1.0169108564364615,0.18455928033235316,0,0.41058913522587437,2.587671310946487,-0.13259141218253773,0.15206158180807966,1.000311058159035,1.0074422434644568,0,0,0,0
2,1,11,0,148261.649414744,0,6,49,2,0,36,2,14,0,0,0,1,4,3,4,3,0.6315000572939442,0.6058514342454797,0.8982217137515129,0.49982440589284394,0.8512766204381963,0.9756765024796539,0.6326160520346944,0.02798697365044689,0.9015877471826059,0.2674124008258899,0.8015806932146793,0.8370955144159827,0,0.23323631654130605,3.1866216074071367,-0.004605317023732403,0.0643991031189964,0.9724747543693166,0.5105952511901115,4,0,1,2
3,1,20,0,197380.09773204703,1,4,4,2,1,18,2,95,0,0,0,1,2,0,2,3,0.8940409213080915,0.28088858546364304,0.888615374957008,0.023921393281539347,0.8662029986032618,0.816438736789001,0.6309573011534332,0.9800591302286515,0.9768082416341561,0.9724159888189052,0.8006969287360983,1.0046792799934854,0,1.6005012173673263,2.122461345326548,0.14435434039257977,0.05933029067196773,0.6280917099268212,0.3730066905586773,2,0,-2,0
4,3,3,0,86982.48296662231,1,3,248,0,1,21,0,235,0,0,0,1,0,1,0,0,0.6697862108622544,0.5602954404620638,0.8792429311023082,0.9542509520994245,0.6358088613044147,0.9860773553367301,0.6547087082286714,0.7859367056602294,0.7928105487056348,0.7003459701493341,0.5521511398031688,0.8900621053602887,2,2.227481749016568,0.025266265271595215,-0.10672987729561406,0.656905657719166,0.964455692059035,1.0231829051134804,1,0,24,0
5,1,6,0,31587.25087164208,1,3,-4,4,1,19,0,137,1,0,0,2,0,2,0,1,0.46647714372611127,0.5318636700928124,0.861397981069128,0.6553479530330056,0.3309035139915351,0.7767661827341368,0.6365012286800119,0.7697156406004859,0.9696877651317127,1.0107120580504976,1.0192854495761194,0.8196747731750708,1,2.8324648127498433,0.31722549900956387,-0.10281542785315972,-0.04652844061229071,0.7123622645853209,-0.1276115351165175,0,0,0,0
6,3,7,0,24919.737363759974,1,3,17,4,0,14,3,19,0,0,0,2,3,1,5,0,0.6307324383540627,0.15135320108451733,0.604570485343132,0.1471626006398278,0.9519304355516165,0.3817434801918412,1.0048303024440675,1.0014572454981217,0.9748693467273882,0.6875278214045188,0.8004245837365027,0.7641709131907131,0,2.8493441891574554,3.0060365579281707,0.9044172978531404,0.10790542776767592,0.9679901768614656,0.6891500919250383,1,0,0,1
7,3,4,0,36756.005859737925,0,0,111,0,1,19,0,10,0,0,0,2,1,1,1,2,0.42506188797128186,0.8791172962251406,0.8768620515555078,0.9732420229385899,0.6348930098233426,0.2949734466171392,0.9965171486524125,0.9810925596405058,0.8910435360591009,1.0191741499879705,0.80443435685915,0.08593032750340487,0,2.790174797799084,0.39753320316822355,0.9270432051510589,-0.021181993289207144,0.9906453158733225,0.6748798262662684,0,1,4,0
8,2,2,0,319203.30320995906,0,0,129,0,1,28,0,-10,0,0,0,2,1,1,0,2,1.0034544327445722,-0.10401303657113764,0.7898949805342653,0.4786232556806317,0.9097763436247213,0.9567194143975315,0.9773897716258159,0.9720687040722129,0.9872835556530106,1.0107243857218184,1.0277753431154781,0.7834599799602171,0,3.0370920803958237,1.9435051644114127,0.09506012182587315,0.2743982558721536,1.01721408658483,0.6281907917601504,2,1,-1,0
9,13,2,0,2047.5247299650073,1,2,21,3,0,15,0,-13,1,0,0,1,0,5,2,0,0.7541038526415145,0.5559663691964586,-0.21960617851608777,1.0894250918001585,0.44599083884557,0.11541779993657454,0.6375555994891079,0.7802237178898466,0.8852404035851659,1.0247944141645657,0.7896408230516646,0.7908279787739535,1,0.05012357433273054,1.9234011565771882,-0.1323428359846462,1.0292513385313264,0.6045568300618561,0.9916207861723735,1,0,4,3
