id,state
0,1
1,1
2,0
3,1
4,1
5,0
6,1
7,1
8,1
9,0
10,1
11,1
12,0
13,0
14,1
15,0
16,0
17,3
18,1
19,0
20,1
21,1
22,3
23,3
24,1
25,3
26,1
27,1
28,1
29,1
30,0
31,1
32,1
33,0
34,0
35,1
36,3
37,2
38,1
39,1
40,3
41,3
42,3
43,1
44,1
45,1
46,1
47,3
48,1
49,1
50,3
51,1
52,0
53,0
54,2
55,2
56,2
57,1
58,1
59,0
60,2
61,2
62,1
63,1
64,1
65,3
66,0
67,0
68,1
69,1
70,2
71,1
72,1
73,3
74,0
75,1
76,3
77,1
78,1
79,0
80,1
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,3
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,3
102,3
103,1
104,1
105,1
106,2
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,3
117,3
118,0
119,1
120,0
121,1
122,1
123,0
124,1
125,3
126,1
127,1
128,1
129,0
130,0
131,1
132,1
133,1
134,1
135,1
136,0
137,1
138,1
139,0
140,3
141,1
142,3
143,3
144,3
145,3
146,1
147,1
148,3
149,3
150,3
151,1
152,1
153,3
154,3
155,1
156,3
157,3
158,1
159,3
160,1
161,1
162,1
163,1
164,1
165,2
166,1
167,0
168,1
169,1
170,1
171,1
172,0
173,0
174,1
175,1
176,2
177,1
178,1
179,2
180,0
181,1
182,3
183,1
184,1
185,1
186,3
187,3
188,0
189,3
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,1
198,3
199,1
200,1
201,1
202,3
203,3
204,1
205,1
206,1
207,1
208,1
209,3
210,1
211,0
212,0
213,0
214,1
215,1
216,1
217,0
218,0
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,1
231,0
232,1
233,2
234,2
235,3
236,1
237,3
238,1
239,3
240,2
241,0
242,3
243,3
244,1
245,3
246,0
247,1
248,0
249,1
250,3
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,0
262,0
263,1
264,1
265,0
266,1
267,3
268,1
269,3
270,1
271,0
272,1
273,0
274,0
275,1
276,0
277,0
278,1
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,3
296,1
297,1
298,1
299,1
300,1
301,3
302,1
303,0
304,1
305,1
306,1
307,1
308,3
309,1
310,1
311,0
312,1
313,1
314,1
315,1
316,0
317,1
318,1
319,1
320,1
321,1
322,0
323,0
324,1
325,1
326,1
327,1
328,2
329,2
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,3
341,3
342,3
343,0
344,3
345,1
346,0
347,1
348,1
349,1
350,3
351,1
352,1
353,1
354,1
355,1
356,1
357,3
358,1
359,2
360,1
361,1
362,1
363,1
364,3
365,1
366,3
367,3
368,0
369,1
370,0
371,0
372,1
373,1
374,3
375,2
376,2
377,1
378,1
379,1
380,0
381,1
382,3
383,1
384,1
385,1
386,1
387,1
388,0
389,1
390,1
391,1
392,1
393,1
394,1
395,0
396,1
397,0
398,1
399,1
400,3
401,1
402,1
403,1
404,1
405,0
406,3
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,3
422,1
423,1
424,3
425,1
426,1
427,1
428,1
429,1
430,0
431,1
432,1
433,0
434,0
435,3
436,0
437,0
438,1
439,0
440,1
441,1
442,0
443,1
444,0
445,3
446,3
447,1
448,1
449,0
450,1
451,1
452,0
453,1
454,1
455,0
456,3
457,0
458,0
459,2
460,3
461,0
462,2
463,3
464,1
465,1
466,1
467,0
468,0
469,1
470,1
471,1
472,0
473,1
474,1
475,3
476,3
477,0
478,1
479,1
480,3
481,1
482,0
483,1
484,2
485,3
486,1
487,3
488,1
489,0
490,1
491,0
492,1
493,1
494,1
495,1
496,1
497,3
498,1
499,1
500,1
501,1
502,0
503,0
504,1
505,1
506,1
507,1
508,3
509,3
510,1
511,1
512,3
513,1
514,3
515,1
516,1
517,3
518,1
519,1
520,0
521,3
522,1
523,1
524,0
525,1
526,3
527,1
528,1
529,1
530,2
531,1
532,1
533,1
534,1
535,0
536,1
537,1
538,1
539,1
540,3
541,1
542,1
543,0
544,1
545,1
546,1
547,0
548,1
549,0
550,0
551,3
552,1
553,0
554,1
555,3
556,0
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,3
569,3
570,3
571,3
572,3
573,3
574,3
575,3
576,1
577,1
578,3
579,0
580,1
581,0
582,2
583,1
584,3
585,0
586,0
587,1
588,1
589,1
590,3
591,1
592,1
593,0
594,0
595,1
596,0
597,1
598,1
599,1
600,1
601,1
602,3
603,1
604,1
605,1
606,1
607,1
608,2
609,2
610,3
611,1
612,3
613,3
614,3
615,3
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,3
624,1
625,3
626,3
627,1
628,1
629,1
630,3
631,1
632,0
633,1
634,1
635,1
636,1
637,1
638,1
639,3
640,1
641,0
642,1
643,1
644,1
645,1
646,3
647,3
648,1
649,3
650,2
651,3
652,3
653,1
654,3
655,3
656,1
657,0
658,2
659,0
660,3
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,3
670,1
671,0
672,3
673,0
674,0
675,1
676,1
677,1
678,2
679,2
680,1
681,1
682,3
683,3
684,3
685,3
686,3
687,1
688,1
689,1
690,1
691,0
692,1
693,1
694,1
695,3
696,1
697,1
698,1
699,1
700,3
701,1
702,1
703,1
704,3
705,1
706,1
707,1
708,1
709,3
710,3
711,1
712,1
713,1
714,1
715,3
716,1
717,3
718,3
719,1
720,3
721,3
722,1
723,1
724,3
725,1
726,3
727,1
728,3
729,3
730,3
731,1
732,1
733,3
734,3
735,0
736,3
737,1
738,1
739,1
740,1
741,3
742,1
743,3
744,0
745,1
746,1
747,1
748,0
749,3
750,1
751,0
752,0
753,1
754,1
755,1
756,0
757,1
758,1
759,0
760,1
761,1
762,1
763,1
764,0
765,1
766,3
767,1
768,3
769,0
770,1
771,1
772,3
773,0
774,1
775,1
776,1
777,1
778,0
779,0
780,1
781,0
782,1
783,1
784,0
785,1
786,0
787,1
788,0
789,1
790,1
791,1
792,0
793,0
794,0
795,1
796,1
797,1
798,0
799,1
800,1
801,1
802,1
803,2
804,1
805,1
806,1
807,0
808,2
809,2
810,1
811,1
812,1
